BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03 (NetLogo),,,,
05/23/2018 04:41:59:105 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
,525,2,529,64
,508,0,548,64
,488,2,566,64
,477,5,574,64
,459,1,596,64
,441,0,615,64
,421,1,634,64
,409,0,647,64
,390,1,665,64
,375,0,681,64
,355,0,701,64
,338,0,718,64
,320,0,736,64
,298,0,758,64
,274,0,782,64
,252,0,804,64
,232,0,824,64
,216,0,840,64
,190,6,860,64
,178,60,818,64
,209,238,609,64
,248,333,475,64
,285,297,474,64
,329,258,469,64
,370,211,475,64
,400,166,490,64
,436,134,486,64
,474,98,484,64
,506,46,504,64
,515,10,531,64
,504,4,548,64
,496,1,559,64
,475,0,581,64
,449,0,607,64
,422,0,634,64
,409,0,647,64
,395,0,661,64
,367,0,689,64
,360,1,695,64
,344,0,712,64
,322,0,734,64
,309,0,747,64
,291,0,765,64
,276,14,766,64
,267,11,778,64
,258,2,796,64
,233,2,821,64
,221,0,835,64
,194,1,861,64
,180,1,875,64
,161,0,895,64
,146,1,909,64
,128,0,928,64
,112,1,943,64
,114,60,882,64
,147,207,702,64
,189,395,472,64
,231,356,469,64
,273,314,469,64
,322,271,463,64
,371,221,464,64
,413,170,473,64
,465,127,464,64
,488,73,495,64
,518,26,512,64
,527,2,527,64
,509,0,547,64
,492,1,563,64
,470,1,585,64
,450,1,605,64
,434,0,622,64
,419,1,636,64
,399,0,657,64
,376,0,680,64
,352,0,704,64
,332,0,724,64
,316,0,740,64
,307,0,749,64
,281,0,775,64
,273,18,765,64
,271,48,737,64
,298,123,635,64
,336,224,496,64
,362,201,493,64
,404,175,477,64
,437,130,489,64
,460,77,519,64
,477,43,536,64
,483,4,569,64
,456,1,599,64
,438,0,618,64
,409,1,646,64
,388,1,667,64
,368,7,681,64
,352,18,686,64
,356,28,672,64
,365,12,679,64
,352,0,704,64
,338,1,717,64
,323,0,733,64
,311,1,744,64
,292,0,764,64
,273,2,781,64
,261,0,795,64
,246,0,810,64
,227,0,829,64
,219,1,836,64
,202,0,854,64
,186,1,869,64
,167,1,888,64
,152,1,903,64
,139,0,917,64
,120,3,933,64
,115,104,837,64
,152,327,577,64
,200,392,464,64
,245,344,467,64
,292,299,465,64
,342,251,463,64
,380,204,472,64
,423,165,468,64
,467,110,479,64
,500,57,499,64
,517,7,532,64
,501,0,555,64
,489,1,566,64
,467,0,589,64
,445,2,609,64
,424,0,632,64
,408,0,648,64
,377,1,678,64
,365,17,674,64
,361,14,681,64
,351,31,674,64
,360,39,657,64
,369,6,681,64
,357,23,676,64
,352,26,678,64
,351,24,681,64
,358,61,637,64
,374,89,593,64
,399,94,563,64
,427,104,525,64
,459,74,523,64
,469,48,539,64
,468,12,576,64
,448,4,604,64
,420,0,636,64
,394,0,662,64
,370,0,686,64
,343,1,712,64
,326,3,727,64
,311,1,744,64
,295,1,760,64
,276,0,780,64
,263,0,793,64
,246,0,810,64
,233,1,822,64
,228,0,828,64
,214,17,825,64
,222,71,763,64
,255,196,605,64
,288,283,485,64
,327,252,477,64
,372,213,471,64
,418,167,471,64
,449,115,492,64
,476,79,501,64
,504,39,513,64
,510,3,543,64
,493,0,563,64
,466,0,590,64
,440,1,615,64
,413,1,642,64
,386,1,669,64
,375,0,681,64
,358,0,698,64
,340,0,716,64
,317,2,737,64
,307,0,749,64
,283,0,773,64
,264,1,791,64
,247,0,809,64
,229,1,826,64
,214,0,842,64
,196,2,858,64
,182,0,874,64
,166,2,888,64
,151,0,905,64
,138,0,918,64
,117,0,939,64
,101,1,954,64
,96,0,960,64
,89,23,944,64
,117,156,783,64
,161,396,499,64
,204,382,470,64
,256,341,459,64
,304,286,466,64
,346,238,472,64
,392,191,473,64
,444,144,468,64
,485,95,476,64
,524,44,488,64
,532,17,507,64
,516,5,535,64
,501,3,552,64
,481,1,574,64
,458,1,597,64
,429,1,626,64
,419,2,635,64
,404,1,651,64
,384,2,670,64
,368,11,677,64
,370,29,657,64
,374,24,658,64
,368,63,625,64
,383,49,624,64
,399,37,620,64
,407,48,601,64
,423,87,546,64
,434,62,560,64
,441,30,585,64
,447,12,597,64
,432,2,622,64
,401,6,649,64
,383,3,670,64
,363,5,688,64
,338,1,717,64
,325,0,731,64
,302,9,745,64
,293,55,708,64
,309,88,659,64
,340,131,585,64
,388,178,490,64
,426,137,493,64
,464,106,486,64
,484,61,511,64
,478,25,553,64
,466,10,580,64
,447,0,609,64
,422,1,633,64
,401,1,654,64
,380,0,676,64
,364,0,692,64
,337,1,718,64
,309,1,746,64
,290,0,766,64
,275,1,780,64
,258,0,798,64
,244,4,808,64
,232,1,823,64
,222,1,833,64
,207,1,848,64
,197,6,853,64
,199,20,837,64
,218,38,800,64
,236,137,683,64
,281,274,501,64
,316,257,483,64
,356,228,472,64
,395,182,479,64
,447,140,469,64
,480,87,489,64
,506,38,512,64
,504,2,550,64
,485,12,559,64
,475,1,580,64
,453,2,601,64
,438,0,618,64
,416,0,640,64
,391,0,665,64
,380,2,674,64
,360,1,695,64
,345,0,711,64
,338,1,717,64
,325,19,712,64
,319,23,714,64
,329,7,720,64
,314,7,735,64
,303,29,724,64
,317,95,644,64
,347,155,554,64
,373,166,517,64
,405,159,492,64
,441,129,486,64
,467,83,506,64
,500,40,516,64
,496,11,549,64
,469,0,587,64
,439,1,616,64
,419,4,633,64
,397,7,652,64
,375,10,671,64
,362,26,668,64
,366,36,654,64
,369,19,668,64
,380,22,654,64
,379,23,654,64
,379,62,615,64
,406,80,570,64
,434,67,555,64
,442,57,557,64
,460,37,559,64
,463,42,551,64
,476,39,541,64
,484,17,555,64
,476,1,579,64
,447,1,608,64
,417,0,639,64
,396,0,660,64
,376,0,680,64
,353,1,702,64
,330,0,726,64
,309,1,746,64
,285,0,771,64
,262,6,788,64
,260,53,743,64
,276,82,698,64
,315,222,519,64
,352,224,480,64
,393,184,479,64
,426,136,494,64
,471,98,487,64
,506,54,496,64
,525,21,510,64
,514,4,538,64
,491,1,564,64
,456,0,600,64
,430,1,625,64
,408,5,643,64
,394,11,651,64
,380,3,673,64
,364,0,692,64
,344,0,712,64
,329,0,727,64
,311,0,745,64
,297,1,758,64
,274,0,782,64
,256,1,799,64
,252,8,796,64
,256,54,746,64
,275,107,674,64
,311,212,533,64
,345,228,483,64
,381,195,480,64
,411,157,488,64
,435,122,499,64
,471,88,497,64
,501,41,514,64
,496,7,553,64
,470,1,585,64
,444,0,612,64
,422,0,634,64
,408,2,646,64
,392,0,664,64
,379,0,677,64
,367,0,689,64
,343,2,711,64
,337,0,719,64
,331,10,715,64
,318,1,737,64
,302,0,754,64
,278,1,777,64
,267,0,789,64
,247,1,808,64
,234,1,821,64
,220,1,835,64
,211,57,788,64
,228,124,704,64
,253,266,537,64
,287,291,478,64
,319,257,480,64
,352,219,485,64
,383,177,496,64
,421,134,501,64
,455,93,508,64
,484,53,519,64
,501,3,552,64
,484,1,571,64
,474,4,578,64
,460,0,596,64
,442,2,612,64
,432,3,621,64
,419,0,637,64
,401,1,654,64
,375,0,681,64
,365,1,690,64
,347,1,708,64
,318,1,737,64
,301,0,755,64
,285,0,771,64
,261,0,795,64
,245,1,810,64
,231,0,825,64
,210,0,846,64
,194,1,861,64
,179,1,876,64
,173,37,846,64
,197,191,668,64
,233,315,508,64
,275,310,471,64
,311,273,472,64
,350,232,474,64
,387,190,479,64
,423,150,483,64
,456,107,493,64
,494,65,497,64
,521,24,511,64
,511,11,534,64
,514,3,539,64
,496,0,560,64
,475,1,580,64
,455,0,601,64
,431,0,625,64
,415,2,639,64
,402,1,653,64
,381,1,674,64
,352,1,703,64
,334,1,721,64
,315,0,741,64
,299,0,757,64
,271,0,785,64
,253,0,803,64
,228,0,828,64
,212,1,843,64
,199,36,821,64
,215,69,772,64
,247,134,675,64
,288,268,500,64
,321,244,491,64
,353,214,489,64
,381,182,493,64
,411,154,491,64
,446,127,483,64
,475,84,497,64
,497,47,512,64
,507,4,545,64
,493,1,562,64
,471,1,584,64
,444,2,610,64
,424,2,630,64
,408,0,648,64
,383,1,672,64
,365,2,689,64
,353,1,702,64
,347,12,697,64
,340,6,710,64
,339,10,707,64
,334,0,722,64
,311,0,745,64
,297,0,759,64
,277,1,778,64
,264,18,774,64
,269,96,691,64
,298,154,604,64
,335,233,488,64
,362,198,496,64
,402,163,491,64
,438,127,491,64
,454,87,515,64
,476,50,530,64
,484,15,557,64
,464,3,589,64
,448,0,608,64
,427,1,628,64
,407,1,648,64
,389,0,667,64
,375,2,679,64
,364,1,691,64
,354,1,701,64
,331,1,724,64
,317,1,738,64
,303,0,753,64
,287,0,769,64
,268,0,788,64
,262,1,793,64
,239,1,816,64
,223,0,833,64
,208,1,847,64
,185,1,870,64
,176,1,879,64
,160,1,895,64
,142,0,914,64
,131,0,925,64
,120,30,906,64
,146,232,678,64
,187,386,483,64
,231,358,467,64
,271,313,472,64
,308,275,473,64
,350,237,469,64
,392,198,466,64
,430,148,478,64
,478,89,489,64
,499,44,513,64
,511,9,536,64
,509,1,546,64
,495,0,561,64
,468,0,588,64
,445,0,611,64
,427,1,628,64
,413,0,643,64
,397,0,659,64
,370,0,686,64
,355,1,700,64
,336,3,717,64
,322,0,734,64
,301,8,747,64
,298,25,733,64
,304,36,716,64
,331,126,599,64
,356,183,517,64
,383,178,495,64
,419,154,483,64
,446,116,494,64
,473,82,501,64
,493,29,534,64
,490,4,562,64
,461,1,594,64
,435,0,621,64
,412,1,643,64
,387,0,669,64
,360,0,696,64
,338,1,717,64
,319,0,737,64
,303,8,745,64
,299,33,724,64
,320,74,662,64
,350,133,573,64
,394,161,501,64
,424,131,501,64
,458,90,508,64
,493,38,525,64
,503,18,535,64
,489,5,562,64
,467,2,587,64
,444,0,612,64
,427,0,629,64
,399,1,656,64
,374,1,681,64
,345,0,711,64
,316,0,740,64
,299,10,747,64
,294,16,746,64
,289,17,750,64
,289,0,767,64
,270,0,786,64
,256,1,799,64
,239,3,814,64
,226,1,829,64
,216,0,840,64
,210,0,846,64
,196,1,859,64
,186,4,866,64
,188,71,797,64
,222,272,562,64
,258,322,476,64
,301,286,469,64
,335,239,482,64
,372,200,484,64
,407,158,491,64
,442,112,502,64
,476,83,497,64
,496,28,532,64
,504,11,541,64
,506,5,545,64
,485,0,571,64
,475,1,580,64
,450,0,606,64
,423,1,632,64
,405,2,649,64
,388,1,667,64
,365,0,691,64
,339,8,709,64
,332,44,680,64
,348,62,646,64
,381,80,595,64
,413,111,532,64
,442,116,498,64
,465,82,509,64
,481,39,536,64
,487,14,555,64
,462,6,588,64
,450,0,606,64
,417,0,639,64
,390,1,665,64
,371,1,684,64
,344,0,712,64
,322,1,733,64
,307,0,749,64
,278,0,778,64
,249,2,805,64
,236,1,819,64
,220,0,836,64
,201,0,855,64
,186,0,870,64
,179,1,876,64
,176,0,880,64
,156,0,900,64
,146,2,908,64
,132,0,924,64
,116,0,940,64
,124,34,898,64
,148,141,767,64
,185,365,506,64
,227,357,472,64
,264,316,476,64
,308,278,470,64
,343,237,476,64
,392,196,468,64
,436,145,475,64
,475,94,487,64
,501,56,499,64
,523,20,513,64
,522,0,534,64
,501,1,554,64
,482,1,573,64
,460,1,595,64
,440,4,612,64
,421,2,633,64
,400,1,655,64
,380,0,676,64
,358,2,696,64
,348,5,703,64
,339,6,711,64
,325,0,731,64
,317,0,739,64
,297,0,759,64
,267,1,788,64
,259,5,792,64
,247,0,809,64
,227,1,828,64
,200,25,831,64
,207,114,735,64
,230,250,576,64
,266,312,478,64
,309,278,469,64
,351,235,470,64
,379,192,485,64
,409,160,487,64
,445,125,486,64
,488,81,487,64
,504,27,525,64
,510,2,544,64
,489,0,567,64
,473,1,582,64
,452,0,604,64
,436,0,620,64
,417,2,637,64
,404,0,652,64
,374,0,682,64
,361,0,695,64
,345,1,710,64
,330,0,726,64
,316,0,740,64
,297,2,757,64
,276,12,768,64
,278,28,750,64
,296,33,727,64
,324,130,602,64
,362,173,521,64
,393,162,501,64
,422,137,497,64
,444,108,504,64
,465,74,517,64
,490,32,534,64
,483,7,566,64
,465,5,586,64
,436,0,620,64
,410,3,643,64
,395,13,648,64
,395,24,637,64
,396,11,649,64
,382,2,672,64
,375,0,681,64
,356,1,699,64
,344,0,712,64
,330,2,724,64
,314,0,742,64
,296,1,759,64
,286,0,770,64
,259,0,797,64
,240,2,814,64
,232,44,780,64
,248,132,676,64
,284,260,512,64
,321,260,475,64
,357,222,477,64
,389,186,481,64
,416,148,492,64
,442,115,499,64
,470,80,506,64
,492,35,529,64
,496,5,555,64
,467,1,588,64
,448,1,607,64
,428,0,628,64
,408,2,646,64
,395,1,660,64
,375,1,680,64
,359,3,694,64
,352,7,697,64
,339,1,716,64
,319,0,737,64
,303,0,753,64
,292,1,763,64
,272,0,784,64
,256,0,800,64
,242,1,813,64
,229,0,827,64
,207,1,848,64
,203,2,851,64
,193,33,830,64
,215,159,682,64
