JAILED,ACTIVE,QUIET,COPS
0,775,345,80
79,882,159,80
154,807,159,80
225,736,159,80
299,662,159,80
371,590,159,80
441,520,159,80
509,452,159,80
573,384,163,80
636,317,167,80
685,261,174,80
739,193,188,80
781,139,200,80
823,89,208,80
848,30,242,80
838,20,262,80
831,13,276,80
811,11,298,80
797,9,314,80
778,14,328,80
762,31,327,80
760,35,325,80
756,24,340,80
751,16,353,80
731,38,351,80
740,19,361,80
739,25,356,80
731,24,365,80
718,40,362,80
720,24,376,80
712,12,396,80
698,25,397,80
678,45,397,80
678,34,408,80
682,29,409,80
670,17,433,80
658,7,455,80
634,57,429,80
645,86,389,80
655,104,361,80
667,130,323,80
702,112,306,80
723,96,301,80
737,77,306,80
736,85,299,80
745,83,292,80
753,93,274,80
766,66,288,80
773,42,305,80
771,33,316,80
743,62,315,80
746,51,323,80
752,14,354,80
730,21,369,80
714,34,372,80
704,56,360,80
708,57,355,80
716,70,334,80
724,81,315,80
736,101,283,80
734,99,287,80
762,52,306,80
773,36,311,80
770,20,330,80
762,13,345,80
751,34,335,80
734,46,340,80
734,40,346,80
727,27,366,80
722,13,385,80
707,22,391,80
689,52,379,80
683,89,348,80
684,110,326,80
700,76,344,80
723,61,336,80
731,59,330,80
741,45,334,80
739,30,351,80
727,24,369,80
720,26,374,80
710,41,369,80
695,62,363,80
700,65,355,80
697,77,346,80
707,66,347,80
709,74,337,80
715,77,328,80
707,124,289,80
722,111,287,80
746,66,308,80
770,38,312,80
757,45,318,80
756,32,332,80
760,7,353,80
749,10,361,80
729,10,381,80
707,10,403,80
683,18,419,80
675,13,432,80
658,31,431,80
638,66,416,80
648,89,383,80
663,100,357,80
672,119,329,80
695,115,310,80
728,120,272,80
748,119,253,80
774,96,250,80
801,67,252,80
819,32,269,80
805,26,289,80
793,20,307,80
784,8,328,80
761,13,346,80
749,7,364,80
724,12,384,80
702,23,395,80
685,26,409,80
678,26,416,80
666,45,409,80
659,55,406,80
667,69,384,80
677,66,377,80
677,70,373,80
683,107,330,80
711,95,314,80
727,91,302,80
742,74,304,80
759,71,290,80
765,60,295,80
766,27,327,80
762,12,346,80
736,31,353,80
724,28,368,80
720,24,376,80
707,23,390,80
691,23,406,80
690,27,403,80
682,43,395,80
682,42,396,80
679,45,396,80
695,15,410,80
674,25,421,80
664,46,410,80
648,116,356,80
671,122,327,80
688,144,288,80
727,132,261,80
755,133,232,80
802,77,241,80
804,56,260,80
820,27,273,80
808,21,291,80
792,22,306,80
783,32,305,80
772,32,316,80
759,31,330,80
742,44,334,80
736,36,348,80
719,35,366,80
696,38,386,80
689,41,390,80
676,48,396,80
681,58,381,80
690,47,383,80
698,34,388,80
677,66,377,80
673,99,348,80
682,128,310,80
716,119,285,80
747,89,284,80
757,90,273,80
767,72,281,80
773,55,292,80
782,47,291,80
780,46,294,80
769,52,299,80
771,41,308,80
766,53,301,80
768,63,289,80
766,40,314,80
770,15,335,80
752,15,353,80
741,14,365,80
724,28,368,80
721,19,380,80
708,25,387,80
697,13,410,80
683,23,414,80
662,37,421,80
648,26,446,80
633,13,474,80
610,29,481,80
606,40,474,80
596,99,425,80
615,145,360,80
645,199,276,80
687,197,236,80
729,162,229,80
770,117,233,80
791,80,249,80
813,40,267,80
811,26,283,80
806,13,301,80
777,31,312,80
776,28,316,80
773,20,327,80
762,31,327,80
760,28,332,80
739,23,358,80
720,38,362,80
699,51,370,80
703,64,353,80
707,39,374,80
704,13,403,80
680,25,415,80
660,40,420,80
657,49,414,80
645,58,417,80
660,37,423,80
660,42,418,80
660,21,439,80
650,18,452,80
638,22,460,80
623,40,457,80
624,24,472,80
602,82,436,80
616,135,369,80
646,142,332,80
680,133,307,80
717,106,297,80
747,70,303,80
753,76,291,80
765,75,280,80
768,64,288,80
774,42,304,80
778,21,321,80
752,35,333,80
748,38,334,80
744,40,336,80
731,71,318,80
718,76,326,80
722,60,338,80
714,38,368,80
721,26,373,80
705,38,377,80
705,32,383,80
694,43,383,80
698,26,396,80
686,13,421,80
674,20,426,80
662,63,395,80
663,117,340,80
687,121,312,80
710,88,322,80
725,63,332,80
737,26,357,80
733,47,340,80
726,78,316,80
734,104,282,80
742,92,286,80
752,78,290,80
764,63,293,80
759,72,289,80
779,44,297,80
786,15,319,80
770,16,334,80
762,11,347,80
749,10,361,80
732,19,369,80
716,33,371,80
702,40,378,80
697,31,392,80
693,49,378,80
684,65,371,80
682,94,344,80
683,115,322,80
718,110,292,80
741,96,283,80
764,75,281,80
782,52,286,80
779,57,284,80
786,38,296,80
781,18,321,80
768,17,335,80
