JAILED,ACTIVE,QUIET,COPS
173,0,883,64
164,0,892,64
152,3,901,64
163,57,836,64
193,184,679,64
235,319,502,64
281,282,493,64
330,237,489,64
361,187,508,64
396,152,508,64
433,110,513,64
468,63,525,64
483,11,562,64
471,1,584,64
440,0,616,64
430,1,625,64
417,0,639,64
398,0,658,64
385,0,671,64
371,1,684,64
349,0,707,64
335,1,720,64
320,1,735,64
307,0,749,64
290,1,765,64
279,0,777,64
262,1,793,64
263,22,771,64
276,71,709,64
307,133,616,64
344,204,508,64
376,172,508,64
408,125,523,64
434,90,532,64
460,46,550,64
463,14,579,64
438,2,616,64
407,0,649,64
388,0,668,64
364,0,692,64
343,0,713,64
324,0,732,64
304,0,752,64
291,0,765,64
279,0,777,64
267,2,787,64
272,15,769,64
276,11,769,64
286,76,694,64
317,116,623,64
360,148,548,64
397,155,504,64
430,114,512,64
467,58,531,64
478,8,570,64
456,1,599,64
429,0,627,64
406,1,649,64
379,2,675,64
358,0,698,64
342,2,712,64
322,1,733,64
294,1,761,64
280,0,776,64
266,0,790,64
251,0,805,64
241,0,815,64
228,1,827,64
216,0,840,64
204,0,852,64
189,0,867,64
175,1,880,64
165,0,891,64
160,15,881,64
161,5,890,64
147,0,909,64
139,1,916,64
128,0,928,64
121,0,935,64
106,0,950,64
95,0,961,64
86,4,966,64
92,106,858,64
133,329,594,64
182,386,488,64
236,335,485,64
289,281,486,64
341,229,486,64
390,177,489,64
433,129,494,64
477,73,506,64
504,28,524,64
497,2,557,64
480,3,573,64
468,3,585,64
456,0,600,64
440,0,616,64
424,0,632,64
400,0,656,64
386,0,670,64
363,0,693,64
345,2,709,64
324,0,732,64
309,0,747,64
285,0,771,64
271,2,783,64
250,0,806,64
233,1,822,64
213,2,841,64
199,0,857,64
183,0,873,64
161,0,895,64
142,1,913,64
127,0,929,64
108,0,948,64
95,2,959,64
86,1,969,64
76,0,980,64
65,3,988,64
65,2,989,64
84,82,890,64
135,341,580,64
191,382,483,64
242,327,487,64
287,275,494,64
333,230,493,64
380,184,492,64
422,139,495,64
472,80,504,64
506,18,532,64
499,2,555,64
492,0,564,64
475,0,581,64
449,0,607,64
427,0,629,64
409,3,644,64
399,10,647,64
391,5,660,64
379,2,675,64
362,0,694,64
342,0,714,64
328,0,728,64
306,0,750,64
282,2,772,64
266,1,789,64
243,1,812,64
228,1,827,64
206,0,850,64
187,1,868,64
171,0,885,64
151,1,904,64
145,38,873,64
166,171,719,64
207,326,523,64
244,312,500,64
280,274,502,64
320,238,498,64
364,198,494,64
400,153,503,64
438,112,506,64
487,67,502,64
509,16,531,64
502,1,553,64
486,1,569,64
472,1,583,64
451,2,603,64
440,0,616,64
422,0,634,64
406,0,650,64
381,0,675,64
358,0,698,64
350,0,706,64
331,0,725,64
309,0,747,64
293,1,762,64
276,1,779,64
248,0,808,64
231,0,825,64
221,0,835,64
203,21,832,64
210,80,766,64
249,201,606,64
277,261,518,64
316,234,506,64
355,197,504,64
390,152,514,64
427,105,524,64
452,49,555,64
471,5,580,64
445,2,609,64
423,0,633,64
396,2,658,64
386,0,670,64
365,0,691,64
361,1,694,64
344,0,712,64
331,1,724,64
320,0,736,64
302,0,754,64
288,0,768,64
270,0,786,64
263,1,792,64
245,0,811,64
229,1,826,64
211,0,845,64
198,1,857,64
193,0,863,64
180,4,872,64
184,65,807,64
205,197,654,64
241,304,511,64
280,276,500,64
312,239,505,64
358,205,493,64
402,157,497,64
437,110,509,64
470,61,525,64
492,11,553,64
487,0,569,64
467,1,588,64
443,0,613,64
418,0,638,64
403,0,653,64
386,0,670,64
373,1,682,64
345,0,711,64
324,1,731,64
311,2,743,64
301,0,755,64
281,1,774,64
267,0,789,64
256,33,767,64
270,95,691,64
313,173,570,64
347,192,517,64
383,159,514,64
413,123,520,64
438,81,537,64
465,36,555,64
459,3,594,64
437,4,615,64
406,0,650,64
375,0,681,64
356,0,700,64
338,0,718,64
317,2,737,64
306,0,750,64
289,0,767,64
274,1,781,64
261,0,795,64
246,0,810,64
229,1,826,64
227,11,818,64
238,70,748,64
276,202,578,64
309,243,504,64
350,206,500,64
386,164,506,64
424,126,506,64
468,83,505,64
488,15,553,64
480,2,574,64
453,0,603,64
435,8,613,64
427,5,624,64
411,4,641,64
391,0,665,64
372,0,684,64
349,0,707,64
335,0,721,64
322,0,734,64
296,0,760,64
276,0,780,64
260,1,795,64
249,2,805,64
233,0,823,64
222,0,834,64
207,0,849,64
182,0,874,64
169,4,883,64
164,0,892,64
147,1,908,64
135,18,903,64
147,96,813,64
182,227,647,64
217,336,503,64
260,300,496,64
289,258,509,64
330,225,501,64
376,188,492,64
417,136,503,64
460,90,506,64
500,24,532,64
502,2,552,64
491,1,564,64
469,0,587,64
460,4,592,64
440,0,616,64
414,0,642,64
392,0,664,64
377,0,679,64
361,16,679,64
365,18,673,64
356,16,684,64
357,14,685,64
361,33,662,64
366,57,633,64
376,57,623,64
396,58,602,64
415,65,576,64
418,38,600,64
431,18,607,64
417,10,629,64
394,1,661,64
356,1,699,64
324,1,731,64
308,1,747,64
287,0,769,64
258,0,798,64
244,0,812,64
224,2,830,64
225,16,815,64
231,63,762,64
260,185,611,64
300,253,503,64
344,217,495,64
382,172,502,64
424,125,507,64
471,67,518,64
491,9,556,64
479,3,574,64
458,5,593,64
439,1,616,64
405,0,651,64
380,1,675,64
359,6,691,64
341,1,714,64
312,2,742,64
302,0,754,64
291,4,761,64
282,1,773,64
257,0,799,64
243,3,810,64
233,0,823,64
219,0,837,64
206,0,850,64
197,1,858,64
187,0,869,64
176,0,880,64
164,19,873,64
172,114,770,64
211,241,604,64
259,306,491,64
296,258,502,64
332,222,502,64
365,186,505,64
411,151,494,64
453,98,505,64
492,39,525,64
499,2,555,64
482,1,573,64
459,0,597,64
441,0,615,64
420,0,636,64
395,3,658,64
383,0,673,64
359,1,696,64
340,3,713,64
327,11,718,64
329,18,709,64
336,36,684,64
343,11,702,64
334,1,721,64
318,4,734,64
304,13,739,64
301,19,736,64
308,8,740,64
294,56,706,64
321,90,645,64
367,115,574,64
398,130,528,64
432,93,531,64
454,56,546,64
454,30,572,64
454,7,595,64
433,0,623,64
411,0,645,64
392,0,664,64
368,0,688,64
349,0,707,64
336,1,719,64
317,1,738,64
306,1,749,64
290,0,766,64
274,1,781,64
263,1,792,64
251,1,804,64
239,8,809,64
242,22,792,64
253,12,791,64
250,0,806,64
230,1,825,64
208,0,848,64
189,3,864,64
178,1,877,64
165,0,891,64
150,2,904,64
141,1,914,64
132,9,915,64
134,60,862,64
175,271,610,64
224,343,489,64
264,295,497,64
314,255,487,64
352,205,499,64
402,163,491,64
443,109,504,64
493,52,511,64
512,4,540,64
499,0,557,64
480,0,576,64
459,0,597,64
436,0,620,64
421,4,631,64
399,0,657,64
384,1,671,64
361,0,695,64
342,1,713,64
323,0,733,64
299,0,757,64
281,1,774,64
264,1,791,64
245,2,809,64
222,2,832,64
226,34,796,64
232,72,752,64
264,193,599,64
296,254,506,64
334,219,503,64
373,181,502,64
407,138,511,64
446,104,506,64
479,48,529,64
489,9,558,64
471,3,582,64
453,2,601,64
430,0,626,64
410,0,646,64
395,0,661,64
378,0,678,64
367,0,689,64
353,0,703,64
337,0,719,64
319,0,737,64
301,0,755,64
279,1,776,64
266,0,790,64
250,0,806,64
238,0,818,64
226,3,827,64
213,0,843,64
192,2,862,64
169,0,887,64
163,13,880,64
169,93,794,64
213,289,554,64
258,307,491,64
295,261,500,64
333,222,501,64
369,177,510,64
