Java Model MCSS (Evan & Shalitha),,,,
Rebellion,,,,
Rebellion experiment 0 (Java),,,,
Wed May 23 18:50:02 AEST 2018,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,
government-legitimacy,0.03,,,
movement?,TRUE,,,
initial-agent-density,70,,,
vision,7,,,
max-jail-term,30,,,
visualization, N/A,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],,,,
[min],,,,
[max],,,,
[mean],,,,
[steps],500,500,500,
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,638,15,467,64
,607,11,502,64
,580,10,530,64
,560,5,555,64
,526,10,584,64
,501,6,613,64
,474,7,639,64
,454,4,662,64
,419,5,696,64
,388,9,723,64
,352,12,756,64
,333,4,783,64
,297,17,806,64
,268,103,749,64
,266,339,515,64
,297,459,364,64
,320,437,363,64
,351,404,365,64
,383,369,368,64
,419,331,370,64
,452,296,372,64
,479,265,376,64
,511,231,378,64
,546,196,378,64
,576,154,390,64
,606,95,419,64
,633,32,455,64
,610,11,499,64
,589,3,528,64
,551,5,564,64
,523,7,590,64
,504,4,612,64
,483,3,634,64
,458,3,659,64
,430,5,685,64
,392,5,723,64
,376,26,718,64
,359,76,685,64
,364,70,686,64
,370,90,660,64
,371,175,574,64
,395,263,462,64
,412,264,444,64
,422,263,435,64
,449,232,439,64
,471,201,448,64
,501,164,455,64
,522,132,466,64
,550,81,489,64
,567,15,538,64
,553,5,562,64
,522,6,592,64
,498,3,619,64
,468,4,648,64
,442,2,676,64
,412,2,706,64
,390,1,729,64
,374,0,746,64
,345,42,733,64
,332,44,744,64
,333,25,762,64
,326,62,732,64
,327,58,735,64
,331,38,751,64
,332,22,766,64
,311,3,806,64
,283,18,819,64
,269,10,841,64
,259,2,859,64
,234,2,884,64
,213,2,905,64
,189,4,927,64
,169,5,946,64
,153,2,965,64
,135,3,982,64
,126,1,993,64
,115,1,1004,64
,108,0,1012,64
,96,2,1022,64
,91,0,1029,64
,84,2,1034,64
,75,4,1041,64
,75,1,1044,64
,66,2,1052,64
,61,4,1055,64
,56,10,1054,64
,53,0,1067,64
,46,2,1072,64
,36,3,1081,64
,33,2,1085,64
,30,0,1090,64
,24,2,1094,64
,23,0,1097,64
,21,0,1099,64
,19,0,1101,64
,17,1,1102,64
,18,0,1102,64
,17,0,1103,64
,16,3,1101,64
,16,0,1104,64
,15,0,1105,64
,13,0,1107,64
,12,0,1108,64
,12,1,1107,64
,12,0,1108,64
,11,0,1109,64
,10,0,1110,64
,10,0,1110,64
,9,0,1111,64
,9,0,1111,64
,8,1,1111,64
,8,0,1112,64
,5,0,1115,64
,5,0,1115,64
,4,0,1116,64
,4,0,1116,64
,3,0,1117,64
,3,0,1117,64
,3,0,1117,64
,3,0,1117,64
,3,0,1117,64
,3,0,1117,64
,2,0,1118,64
,2,0,1118,64
,2,0,1118,64
,2,0,1118,64
,1,0,1119,64
,1,0,1119,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
,0,0,1120,64
