Java Model MCSS (Evan & Shalitha)
Rebellion
Rebellion experiment 11 (Java)
Wed May 23 14:05:22 AEST 2018
min-pxcor,max-pxcor,min-pycor,max-pycor
0,39,0,39
[run number],1,1,1
government-legitimacy,0.27
movement?,true
initial-agent-density,53.0
vision,7.0
max-jail-term,30
visualization, N/A
initial-cop-density, 7.8
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],
[min],
[max],
[mean],
[steps],20000,20000,20000,
,
[all run data],JAILED,ACTIVE,QUIET,COPS
,0,520,328,124
,115,621,112,124
,228,508,112,124
,328,407,113,124
,432,303,113,124
,523,177,148,124
,607,43,198,124
,630,7,211,124
,605,13,230,124
,592,10,246,124
,566,15,267,124
,553,14,281,124
,534,11,303,124
,515,10,323,124
,497,10,341,124
,482,15,351,124
,453,19,376,124
,446,13,389,124
,437,17,394,124
,416,18,414,124
,415,11,422,124
,387,22,439,124
,373,13,462,124
,358,15,475,124
,345,18,485,124
,328,17,503,124
,317,15,516,124
,288,31,529,124
,285,17,546,124
,267,17,564,124
,247,19,582,124
,238,15,595,124
,237,14,597,124
,225,19,604,124
,223,14,611,124
,220,17,611,124
,218,19,611,124
,219,18,611,124
,224,13,611,124
,226,11,611,124
,226,11,611,124
,217,22,609,124
,216,23,609,124
,230,9,609,124
,222,16,610,124
,220,18,610,124
,219,19,610,124
,221,17,610,124
,226,12,610,124
,214,24,610,124
,225,13,610,124
,218,20,610,124
,227,11,610,124
,227,11,610,124
,217,21,610,124
,218,20,610,124
,225,13,610,124
,221,17,610,124
,219,19,610,124
,218,20,610,124
,220,18,610,124
,224,14,610,124
,225,12,611,124
,220,17,611,124
,214,23,611,124
,220,18,610,124
,229,9,610,124
,224,14,610,124
,224,14,610,124
,224,13,611,124
,219,18,611,124
,213,24,611,124
,217,20,611,124
,222,15,611,124
,221,16,611,124
,224,13,611,124
,220,18,610,124
,213,30,605,124
,227,16,605,124
,230,13,605,124
,231,11,606,124
,226,16,606,124
,226,16,606,124
,229,13,606,124
,227,14,607,124
,231,10,607,124
,226,15,607,124
,223,18,607,124
,228,13,607,124
,221,21,606,124
,224,16,608,124
,227,13,608,124
,220,20,608,124
,215,25,608,124
,224,16,608,124
,222,19,607,124
,230,10,608,124
,221,19,608,124
,220,19,609,124
,221,18,609,124
,226,13,609,124
,223,16,609,124
,224,15,609,124
,219,20,609,124
,221,17,610,124
,225,13,610,124
,219,18,611,124
,221,16,611,124
,221,16,611,124
,226,11,611,124
,218,20,610,124
,228,10,610,124
,220,18,610,124
,220,19,609,124
,220,19,609,124
,216,23,609,124
,220,18,610,124
,220,18,610,124
,225,13,610,124
,225,13,610,124
,220,18,610,124
,215,23,610,124
,224,14,610,124
,217,21,610,124
,230,8,610,124
,218,20,610,124
,218,20,610,124
,230,8,610,124
,219,18,611,124
,223,14,611,124
,224,13,611,124
,214,23,611,124
,217,20,611,124
,219,18,611,124
,217,20,611,124
,224,13,611,124
,225,12,611,124
,224,13,611,124
,228,9,611,124
,223,14,611,124
,215,22,611,124
,219,18,611,124
,218,20,610,124
,226,12,610,124
,219,19,610,124
,219,19,610,124
,224,14,610,124
,224,14,610,124
,219,19,610,124
,220,18,610,124
,216,23,609,124
,214,24,610,124
,212,30,606,124
,228,14,606,124
,234,7,607,124
,226,15,607,124
,228,13,607,124
,223,18,607,124
,226,15,607,124
,225,16,607,124
,226,15,607,124
,227,14,607,124
,217,24,607,124
,223,18,607,124
,223,18,607,124
,220,20,608,124
,230,10,608,124
,221,19,608,124
,221,19,608,124
,219,21,608,124
,226,13,609,124
,230,7,611,124
,221,16,611,124
,227,10,611,124
,216,22,610,124
,215,26,607,124
,213,28,607,124
,225,16,607,124
,226,15,607,124
,228,13,607,124
,223,18,607,124
,226,14,608,124
,228,12,608,124
,226,14,608,124
,225,15,608,124
,225,15,608,124
,220,20,608,124
,221,18,609,124
,225,14,609,124
,224,15,609,124
,218,22,608,124
,216,24,608,124
,227,12,609,124
,218,21,609,124
,227,12,609,124
,227,12,609,124
,221,18,609,124
,220,19,609,124
,223,16,609,124
,215,25,608,124
,230,10,608,124
,220,24,604,124
,224,19,605,124
,227,16,605,124
,215,28,605,124
,230,13,605,124
,230,13,605,124
,223,20,605,124
,222,20,606,124
,226,16,606,124
,222,19,607,124
,223,18,607,124
,226,14,608,124
,220,19,609,124
,228,10,610,124
,229,9,610,124
,218,19,611,124
,223,14,611,124
,220,17,611,124
,219,18,611,124
,221,16,611,124
,220,17,611,124
,219,18,611,124
,220,17,611,124
,219,18,611,124
,227,10,611,124
,218,19,611,124
,226,11,611,124
,216,21,611,124
,227,10,611,124
,222,15,611,124
,223,14,611,124
,227,10,611,124
,223,14,611,124
,223,14,611,124
,225,12,611,124
,220,17,611,124
,219,19,610,124
,219,19,610,124
,220,18,610,124
,228,10,610,124
,219,19,610,124
,218,20,610,124
,220,18,610,124
,223,15,610,124
,221,17,610,124
,223,15,610,124
,217,21,610,124
,222,16,610,124
,223,15,610,124
,223,15,610,124
,222,16,610,124
,219,19,610,124
,225,13,610,124
,226,12,610,124
,227,11,610,124
,222,16,610,124
,219,19,610,124
,222,16,610,124
,222,16,610,124
,224,14,610,124
,226,13,609,124
,220,19,609,124
,219,20,609,124
,219,21,608,124
,226,13,609,124
,218,21,609,124
,221,18,609,124
,225,14,609,124
,231,8,609,124
,222,17,609,124
,221,18,609,124
,228,11,609,124
,211,28,609,124
,226,13,609,124
,223,16,609,124
,227,12,609,124
,226,13,609,124
,223,16,609,124
,221,19,608,124
,222,18,608,124
,220,19,609,124
,223,16,609,124
,225,14,609,124
,228,11,609,124
,220,19,609,124
,225,14,609,124
,222,16,610,124
,225,14,609,124
,216,23,609,124
,221,18,609,124
,222,17,609,124
,230,9,609,124
,224,15,609,124
,221,18,609,124
,229,10,609,124
,217,22,609,124
,223,16,609,124
,223,16,609,124
,225,14,609,124
,220,19,609,124
,221,18,609,124
,224,15,609,124
,226,13,609,124
,224,15,609,124
,226,13,609,124
,221,18,609,124
,227,12,609,124
,224,15,609,124
,220,19,609,124
,222,17,609,124
,230,9,609,124
,219,19,610,124
,226,12,610,124
,221,16,611,124
,220,17,611,124
,219,18,611,124
,221,16,611,124
,217,20,611,124
,217,22,609,124
,233,6,609,124
,225,14,609,124
,228,11,609,124
,229,10,609,124
,218,21,609,124
,225,14,609,124
,218,25,605,124
,220,22,606,124
,229,13,606,124
,226,16,606,124
,226,16,606,124
,219,23,606,124
,217,23,608,124
,232,8,608,124
,220,20,608,124
,227,13,608,124
,217,24,607,124
,223,18,607,124
,225,16,607,124
,219,21,608,124
,227,13,608,124
,226,13,609,124
,225,14,609,124
,225,14,609,124
,219,20,609,124
,218,21,609,124
,224,15,609,124
,228,11,609,124
,223,16,609,124
,224,15,609,124
,222,17,609,124
,228,10,610,124
,212,26,610,124
,221,17,610,124
,222,15,611,124
,225,12,611,124
,220,17,611,124
,223,14,611,124
,219,18,611,124
,221,16,611,124
,223,14,611,124
,222,15,611,124
,226,11,611,124
,225,12,611,124
,220,17,611,124
,218,19,611,124
,221,16,611,124
,224,13,611,124
,221,16,611,124
,220,17,611,124
,221,16,611,124
,220,18,610,124
,214,23,611,124
,215,22,611,124
,223,14,611,124
,224,13,611,124
,220,17,611,124
,226,11,611,124
,222,15,611,124
,222,15,611,124
,223,14,611,124
,222,15,611,124
,215,22,611,124
,221,16,611,124
,222,15,611,124
,218,20,610,124
,217,21,610,124
,216,22,610,124
,222,16,610,124
,217,21,610,124
,225,13,610,124
,224,14,610,124
,220,19,609,124
,224,15,609,124
,219,20,609,124
,224,15,609,124
,224,15,609,124
,218,22,608,124
,221,18,609,124
,215,24,609,124
,221,18,609,124
,227,12,609,124
,223,16,609,124
,228,12,608,124
,222,17,609,124
,218,21,609,124
,228,11,609,124
,224,15,609,124
,218,21,609,124
,217,21,610,124
,227,11,610,124
,210,29,609,124
,226,13,609,124
,217,21,610,124
,218,22,608,124
,223,17,608,124
,225,15,608,124
,224,15,609,124
,213,25,610,124
,226,12,610,124
,217,21,610,124
,226,12,610,124
,219,19,610,124
,223,15,610,124
,221,17,610,124
,222,16,610,124
,227,11,610,124
,226,11,611,124
,215,22,611,124
,225,13,610,124
,220,18,610,124
,220,18,610,124
,221,17,610,124
,222,16,610,124
,228,10,610,124
,218,21,609,124
,224,15,609,124
,221,18,609,124
,220,19,609,124
,223,16,609,124
,221,20,607,124
,229,12,607,124
,223,18,607,124
,223,17,608,124
,215,25,608,124
,226,14,608,124
,223,18,607,124
,228,13,607,124
,229,12,607,124
,228,13,607,124
,223,18,607,124
,228,13,607,124
,225,16,607,124
,225,16,607,124
,226,15,607,124
,224,17,607,124
,226,15,607,124
,226,14,608,124
,224,15,609,124
,224,15,609,124
,219,20,609,124
,220,19,609,124
,219,21,608,124
,226,13,609,124
,223,15,610,124
,217,22,609,124
,223,16,609,124
,221,18,609,124
,217,22,609,124
,227,12,609,124
,223,16,609,124
,219,20,609,124
,222,17,609,124
,223,15,610,124
,221,17,610,124
,222,16,610,124
,224,14,610,124
,231,7,610,124
,221,17,610,124
,219,20,609,124
,225,14,609,124
,223,16,609,124
,225,14,609,124
,227,12,609,124
,222,17,609,124
,221,18,609,124
,228,10,610,124
,223,15,610,124
,221,17,610,124
,224,14,610,124
,222,16,610,124
,217,20,611,124
,213,24,611,124
,209,28,611,124
,223,14,611,124
,228,9,611,124
,226,11,611,124
,220,17,611,124
,218,19,611,124
,217,20,611,124
,222,15,611,124
,219,18,611,124
,225,12,611,124
,225,14,609,124
,231,8,609,124
,220,19,609,124
,219,20,609,124
,222,18,608,124
,223,17,608,124
,224,15,609,124
,226,13,609,124
,220,18,610,124
,219,18,611,124
,223,14,611,124
,216,21,611,124
,218,19,611,124
,224,13,611,124
,224,13,611,124
,216,21,611,124
,225,12,611,124
,211,27,610,124
,217,21,610,124
,218,20,610,124
,224,14,610,124
,218,20,610,124
,228,10,610,124
,223,15,610,124
,221,17,610,124
,225,13,610,124
,226,12,610,124
,220,19,609,124
,226,13,609,124
,224,15,609,124
,222,17,609,124
,222,17,609,124
,223,16,609,124
,221,18,609,124
,225,14,609,124
,225,14,609,124
,220,19,609,124
,216,23,609,124
,214,25,609,124
,221,18,609,124
,220,17,611,124
,219,18,611,124
,223,14,611,124
,217,20,611,124
,222,15,611,124
,224,13,611,124
,222,15,611,124
,229,8,611,124
,221,16,611,124
,215,22,611,124
,224,13,611,124
,215,22,611,124
,221,16,611,124
,224,13,611,124
,218,19,611,124
,222,15,611,124
,220,17,611,124
,220,17,611,124
,221,16,611,124
,218,19,611,124
,221,16,611,124
,224,13,611,124
,218,19,611,124
,223,14,611,124
,219,18,611,124
,212,25,611,124
,227,10,611,124
,226,11,611,124
,219,18,611,124
,224,13,611,124
,221,16,611,124
,225,12,611,124
,225,12,611,124
,226,11,611,124
,214,24,610,124
,222,16,610,124
,221,18,609,124
,221,18,609,124
,214,33,601,124
,235,11,602,124
,228,17,603,124
,233,12,603,124
,227,18,603,124
,231,14,603,124
,225,20,603,124
,234,10,604,124
,223,20,605,124
,221,21,606,124
,228,14,606,124
,234,8,606,124
,227,15,606,124
,229,13,606,124
,220,23,605,124
,224,19,605,124
,227,16,605,124
,229,14,605,124
,226,17,605,124
,226,17,605,124
,232,11,605,124
,223,18,607,124
,221,20,607,124
,222,19,607,124
,222,19,607,124
,228,13,607,124
,221,20,607,124
,224,15,609,124
,221,18,609,124
,219,19,610,124
,232,6,610,124
,221,17,610,124
,221,17,610,124
,220,18,610,124
,223,15,610,124
,229,9,610,124
