Java Model MCSS (Evan & Shalitha),,,,
Rebellion,,,,
Rebellion experiment 0 (Java),,,,
Wed May 23 18:51:32 AEST 2018,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,
government-legitimacy,0.03,,,
movement?,TRUE,,,
initial-agent-density,70,,,
vision,7,,,
max-jail-term,30,,,
visualization, N/A,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],,,,
[min],,,,
[max],,,,
[mean],,,,
[steps],500,500,500,
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,818,112,190,64
,811,134,175,64
,812,158,150,64
,818,162,140,64
,816,157,147,64
,819,164,137,64
,820,164,136,64
,818,178,124,64
,820,177,123,64
,813,184,123,64
,816,178,126,64
,811,181,128,64
,807,188,125,64
,808,189,123,64
,817,179,124,64
,824,167,129,64
,823,171,126,64
,818,172,130,64
,824,167,129,64
,839,144,137,64
,839,148,133,64
,834,157,129,64
,847,143,130,64
,859,125,136,64
,858,98,164,64
,849,95,176,64
,850,89,181,64
,841,102,177,64
,840,80,200,64
,824,77,219,64
,822,61,237,64
,808,56,256,64
,789,55,276,64
,783,47,290,64
,760,55,305,64
,731,102,287,64
,742,153,225,64
,736,254,130,64
,735,258,127,64
,741,257,122,64
,745,256,119,64
,751,250,119,64
,760,241,119,64
,777,224,119,64
,778,223,119,64
,785,216,119,64
,795,206,119,64
,791,208,121,64
,789,211,120,64
,794,205,121,64
,781,218,121,64
,790,209,121,64
,796,200,124,64
,809,187,124,64
,811,180,129,64
,822,173,125,64
,822,173,125,64
,837,158,125,64
,837,151,132,64
,846,145,129,64
,854,117,149,64
,866,100,154,64
,876,71,173,64
,861,70,189,64
,864,54,202,64
,826,48,246,64
,814,41,265,64
,791,31,298,64
,756,43,321,64
,732,54,334,64
,718,102,300,64
,704,169,247,64
,725,226,169,64
,736,262,122,64
,741,260,119,64
,752,249,119,64
,755,245,120,64
,760,241,119,64
,759,242,119,64
,759,242,119,64
,758,241,121,64
,767,234,119,64
,765,234,121,64
,787,208,125,64
,803,189,128,64
,814,179,127,64
,819,180,121,64
,835,149,136,64
,839,149,132,64
,846,142,132,64
,831,157,132,64
,836,149,135,64
,840,132,148,64
,844,124,152,64
,863,90,167,64
,866,84,170,64
,861,70,189,64
,837,64,219,64
,823,46,251,64
,810,32,278,64
,788,36,296,64
,764,50,306,64
,742,99,279,64
,744,125,251,64
,733,217,170,64
,738,246,136,64
,739,251,130,64
,738,258,124,64
,739,259,122,64
,744,254,122,64
,759,242,119,64
,756,245,119,64
,762,239,119,64
,772,229,119,64
,790,211,119,64
,795,201,124,64
,791,209,120,64
,793,204,123,64
,793,206,121,64
,793,208,119,64
,801,199,120,64
,795,205,120,64
,806,193,121,64
,823,176,121,64
,831,166,123,64
,846,146,128,64
,863,123,134,64
,868,105,147,64
,870,90,160,64
,855,77,188,64
,844,66,210,64
,828,62,230,64
,805,65,250,64
,790,79,251,64
,780,73,267,64
,772,86,262,64
,763,156,201,64
,762,199,159,64
,773,224,123,64
,778,223,119,64
,783,214,123,64
,785,209,126,64
,787,208,125,64
,783,207,130,64
,797,204,119,64
,798,202,120,64
,801,199,120,64
,811,185,124,64
,812,183,125,64
,822,177,121,64
,829,169,122,64
,839,150,131,64
,847,129,144,64
,856,106,158,64
,852,92,176,64
,848,78,194,64
,840,88,192,64
,837,81,202,64
,819,85,216,64
,813,99,208,64
,813,91,216,64
,810,72,238,64
,786,100,234,64
,788,137,195,64
,803,135,182,64
,796,162,162,64
,792,193,135,64
,786,207,127,64
,787,214,119,64
,782,218,120,64
,789,208,123,64
,784,215,121,64
,791,207,122,64
,796,202,122,64
,805,192,123,64
,808,187,125,64
,800,198,122,64
,805,196,119,64
,824,173,123,64
