BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03,,,,
05/24/2018 04:10:46:423 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
,231,0,825,64
,211,0,845,64
,186,1,869,64
,173,1,882,64
,154,2,900,64
,138,0,918,64
,126,1,929,64
,107,0,949,64
,94,0,962,64
,89,21,946,64
,107,139,810,64
,153,405,498,64
,205,394,457,64
,253,340,463,64
,303,292,461,64
,351,243,462,64
,397,195,464,64
,438,141,477,64
,472,97,487,64
,510,54,492,64
,523,3,530,64
,499,0,557,64
,481,0,575,64
,458,0,598,64
,443,0,613,64
,421,0,635,64
,411,1,644,64
,397,1,658,64
,369,0,687,64
,351,0,705,64
,334,0,722,64
,319,0,737,64
,295,0,761,64
,272,0,784,64
,248,3,805,64
,236,1,819,64
,227,9,820,64
,226,70,760,64
,256,198,602,64
,288,288,480,64
,317,257,482,64
,351,227,478,64
,384,190,482,64
,423,151,482,64
,444,108,504,64
,472,78,506,64
,501,31,524,64
,497,7,552,64
,471,1,584,64
,461,1,594,64
,439,0,617,64
,426,0,630,64
,404,0,652,64
,388,0,668,64
,366,1,689,64
,355,0,701,64
,338,0,718,64
,314,0,742,64
,303,0,753,64
,292,1,763,64
,275,1,780,64
,255,0,801,64
,236,0,820,64
,220,2,834,64
,204,1,851,64
,190,0,866,64
,170,0,886,64
,143,1,912,64
,133,12,911,64
,142,25,889,64
,152,46,858,64
,191,230,635,64
,236,353,467,64
,275,308,473,64
,319,271,466,64
,360,228,468,64
,411,182,463,64
,437,128,491,64
,479,90,487,64
,511,43,502,64
,517,0,539,64
,498,0,558,64
,483,0,573,64
,461,0,595,64
,451,2,603,64
,432,0,624,64
,411,0,645,64
,394,0,662,64
,372,1,683,64
,355,1,700,64
,339,0,717,64
,320,1,735,64
,299,0,757,64
,276,1,779,64
,257,1,798,64
,236,0,820,64
,220,6,830,64
,217,45,794,64
,233,148,675,64
,274,297,485,64
,304,272,480,64
,342,242,472,64
,374,202,480,64
,412,163,481,64
,452,122,482,64
,488,80,488,64
,506,30,520,64
,499,6,551,64
,478,0,578,64
,456,2,598,64
,438,0,618,64
,417,0,639,64
,404,0,652,64
,390,0,666,64
,375,0,681,64
,361,0,695,64
,341,0,715,64
,328,0,728,64
,311,0,745,64
,291,0,765,64
,291,22,743,64
,292,32,732,64
,309,60,687,64
,344,139,573,64
,376,182,498,64
,407,149,500,64
,434,116,506,64
,467,86,503,64
,492,34,530,64
,485,16,555,64
,474,26,556,64
,453,12,591,64
,434,3,619,64
,405,0,651,64
,387,0,669,64
,361,1,694,64
,329,0,727,64
,304,1,751,64
,289,0,767,64
,278,2,776,64
,262,2,792,64
,255,13,788,64
,250,48,758,64
,286,123,647,64
,327,228,501,64
,364,218,474,64
,392,181,483,64
,428,143,485,64
,458,106,492,64
,487,57,512,64
,486,15,555,64
,471,1,584,64
,445,0,611,64
,417,0,639,64
,389,0,667,64
,360,0,696,64
,342,1,713,64
,323,0,733,64
,302,15,739,64
,300,40,716,64
,309,39,708,64
,330,63,663,64
,355,101,600,64
,388,132,536,64
,420,134,502,64
,463,106,487,64
,490,55,511,64
,499,24,533,64
,492,16,548,64
,483,5,568,64
,466,0,590,64
,435,1,620,64
,408,0,648,64
,385,1,670,64
,360,2,694,64
,325,0,731,64
,307,0,749,64
,285,0,771,64
,268,0,788,64
,251,0,805,64
,236,0,820,64
,221,0,835,64
,206,0,850,64
,191,2,863,64
,189,26,841,64
,204,99,753,64
,240,271,545,64
,288,305,463,64
,326,257,473,64
,363,219,474,64
,407,182,467,64
,444,138,474,64
,479,87,490,64
,507,40,509,64
,511,15,530,64
,503,0,553,64
,477,0,579,64
,458,0,598,64
,437,1,618,64
,418,0,638,64
,401,0,655,64
,388,0,668,64
,364,2,690,64
,349,1,706,64
,331,0,725,64
,308,0,748,64
,293,0,763,64
,274,3,779,64
,264,22,770,64
,269,54,733,64
,289,106,661,64
,324,158,574,64
,370,209,477,64
,395,169,492,64
,424,142,490,64
,458,112,486,64
,489,65,502,64
,500,18,538,64
,482,0,574,64
,456,0,600,64
,426,1,629,64
,409,5,642,64
,393,16,647,64
,390,34,632,64
,405,36,615,64
,417,35,604,64
,422,29,605,64
,414,23,619,64
,427,41,588,64
,441,45,570,64
,443,38,575,64
,444,17,595,64
,430,6,620,64
,417,14,625,64
,416,19,621,64
,412,29,615,64
,412,4,640,64
,398,0,658,64
,368,1,687,64
,338,1,717,64
,323,1,732,64
,298,1,757,64
,280,1,775,64
,260,0,796,64
,248,73,735,64
,270,186,600,64
,313,243,500,64
,347,232,477,64
,389,201,466,64
,432,156,468,64
,463,105,488,64
,499,61,496,64
,509,13,534,64
,490,2,564,64
,474,1,581,64
,456,0,600,64
,428,4,624,64
,412,17,627,64
,409,20,627,64
,410,35,611,64
,418,25,613,64
,413,2,641,64
,391,1,664,64
,374,0,682,64
,350,1,705,64
,332,1,723,64
,313,0,743,64
,286,0,770,64
,274,0,782,64
,255,0,801,64
,232,0,824,64
,217,0,839,64
,201,0,855,64
,184,0,872,64
,163,0,893,64
,143,1,912,64
,133,23,900,64
,144,150,762,64
,186,329,541,64
,231,359,466,64
,275,314,467,64
,318,271,467,64
,368,227,461,64
,419,174,463,64
,461,119,476,64
,500,64,492,64
,530,18,508,64
,525,1,530,64
,500,1,555,64
,485,0,571,64
,462,1,593,64
,432,2,622,64
,418,3,635,64
,398,1,657,64
,394,8,654,64
,385,10,661,64
,371,0,685,64
,346,0,710,64
,324,1,731,64
,299,2,755,64
,288,1,767,64
,263,0,793,64
,233,0,823,64
,219,6,831,64
,213,55,788,64
,246,212,598,64
,279,287,490,64
,307,267,482,64
,351,239,466,64
,388,193,475,64
,422,152,482,64
,448,111,497,64
,479,82,495,64
,496,34,526,64
,503,5,548,64
,485,1,570,64
,466,0,590,64
,445,0,611,64
,421,0,635,64
,402,0,654,64
,383,0,673,64
,366,3,687,64
,344,0,712,64
,328,0,728,64
,304,1,751,64
,286,1,769,64
,275,0,781,64
,259,1,796,64
,243,0,813,64
,225,0,831,64
,205,1,850,64
,185,1,870,64
,179,55,822,64
,207,164,685,64
,243,315,498,64
,281,302,473,64
,312,264,480,64
,349,234,473,64
,377,195,484,64
,420,161,475,64
,456,118,482,64
,497,67,492,64
,514,18,524,64
,513,1,542,64
,488,0,568,64
,475,1,580,64
,464,0,592,64
,441,0,615,64
,418,1,637,64
,397,0,659,64
,389,0,667,64
,369,1,686,64
,355,0,701,64
,345,0,711,64
,326,0,730,64
,312,0,744,64
,297,1,758,64
,277,0,779,64
,254,1,801,64
,246,33,777,64
,265,108,683,64
,297,234,525,64
,328,248,480,64
,367,216,473,64
,398,172,486,64
,415,138,503,64
,449,110,497,64
,487,89,480,64
,507,29,520,64
,502,0,554,64
,480,1,575,64
,461,2,593,64
,434,2,620,64
,415,0,641,64
,400,2,654,64
,387,0,669,64
,368,1,687,64
,357,0,699,64
,337,0,719,64
,316,0,740,64
,301,1,754,64
,295,19,742,64
,304,21,731,64
,305,43,708,64
,317,85,654,64
,355,171,530,64
,393,166,497,64
,425,132,499,64
,449,108,499,64
,480,70,506,64
,495,27,534,64
,482,5,569,64
,456,0,600,64
,429,0,627,64
,403,2,651,64
,385,3,668,64
,366,1,689,64
,351,1,704,64
,332,0,724,64
,313,0,743,64
,282,0,774,64
,267,1,788,64
,254,0,802,64
,243,0,813,64
,237,43,776,64
,264,124,668,64
,306,233,517,64
,343,239,474,64
,386,202,468,64
,418,149,489,64
,451,114,491,64
,473,70,513,64
,488,36,532,64
,488,14,554,64
,477,0,579,64
,449,0,607,64
,418,0,638,64
,394,0,662,64
,361,1,694,64
