Java Model MCSS (Evan & Shalitha)
Rebellion
Rebellion experiment E1 (Java).csv
Thu May 24 06:38:45 AEST 2018
min-pxcor,max-pxcor,min-pycor,max-pycor
0,39,0,39
[run number],1,1,1
government-legitimacy,0.9
movement?,true
initial-agent-density,70.0
vision,7.0
max-jail-term,30
visualization, N/A
initial-cop-density, 4.0
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],
[min],
[max],
[mean],
[steps],500,500,500,
,
[all run data],JAILED,ACTIVE,QUIET,COPS,LEGIT
,331,22,767,64,0.1899999999999994
,327,29,764,64,0.1849999999999994
,329,30,761,64,0.17999999999999938
,340,20,760,64,0.17499999999999938
,333,28,759,64,0.16999999999999937
,343,21,756,64,0.16499999999999937
,336,30,754,64,0.15999999999999936
,346,26,748,64,0.15499999999999936
,351,25,744,64,0.14999999999999936
,347,33,740,64,0.14499999999999935
,353,29,738,64,0.13999999999999935
,363,25,732,64,0.13499999999999934
,360,31,729,64,0.12999999999999934
,360,32,728,64,0.12499999999999933
,358,36,726,64,0.11999999999999933
,364,31,725,64,0.11499999999999932
,371,28,721,64,0.10999999999999932
,354,51,715,64,0.10499999999999932
,375,32,713,64,0.09999999999999931
,377,31,712,64,0.09499999999999931
,376,33,711,64,0.0899999999999993
,382,30,708,64,0.0849999999999993
,381,33,706,64,0.0799999999999993
,393,25,702,64,0.07499999999999929
,394,24,702,64,0.06999999999999929
,397,24,699,64,0.06499999999999928
,397,29,694,64,0.05999999999999928
,393,33,694,64,0.054999999999999286
,390,38,692,64,0.04999999999999929
,400,29,691,64,0.04499999999999929
,401,29,690,64,0.03999999999999929
,399,34,687,64,0.034999999999999296
,405,31,684,64,0.029999999999999295
,403,36,681,64,0.024999999999999294
,405,35,680,64,0.019999999999999293
,415,25,680,64,0.014999999999999292
,410,32,678,64,0.00999999999999929
,414,28,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,407,35,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,421,21,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,420,22,678,64,0.004999999999999291
,407,35,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,399,43,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,418,24,678,64,0.004999999999999291
,401,41,678,64,0.004999999999999291
,422,20,678,64,0.004999999999999291
,419,23,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,402,40,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,422,20,678,64,0.004999999999999291
,419,23,678,64,0.004999999999999291
,407,35,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,418,24,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,420,22,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,418,24,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,421,21,678,64,0.004999999999999291
,399,43,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,402,40,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,396,46,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,395,47,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,422,20,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,419,23,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,400,42,678,64,0.004999999999999291
,419,23,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,400,42,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,421,21,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,402,40,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,402,40,678,64,0.004999999999999291
,418,24,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,407,35,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,421,21,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,399,43,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,420,22,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,399,43,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,402,40,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,420,22,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,407,35,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,420,22,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,399,43,678,64,0.004999999999999291
,407,35,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,421,21,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,418,24,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,418,24,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,418,24,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,419,23,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,423,19,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,407,35,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,425,17,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,413,29,678,64,0.004999999999999291
,402,40,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,402,40,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,425,17,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,407,35,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,409,33,678,64,0.004999999999999291
,405,37,678,64,0.004999999999999291
,400,42,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,402,40,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,412,30,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,415,27,678,64,0.004999999999999291
,408,34,678,64,0.004999999999999291
,417,25,678,64,0.004999999999999291
,404,38,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,406,36,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,414,28,678,64,0.004999999999999291
,411,31,678,64,0.004999999999999291
,410,32,678,64,0.004999999999999291
,403,39,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
,416,26,678,64,0.004999999999999291
