BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03,,,,
05/24/2018 04:05:57:814 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
,306,269,481,64
,345,232,479,64
,385,193,478,64
,420,148,488,64
,457,106,493,64
,494,60,502,64
,514,22,520,64
,516,0,540,64
,493,0,563,64
,473,0,583,64
,457,0,599,64
,438,0,618,64
,417,0,639,64
,400,1,655,64
,391,0,665,64
,366,1,689,64
,348,0,708,64
,328,1,727,64
,311,2,743,64
,292,1,763,64
,276,1,779,64
,254,0,802,64
,244,9,803,64
,230,2,824,64
,221,28,807,64
,230,112,714,64
,265,253,538,64
,301,273,482,64
,336,236,484,64
,363,203,490,64
,395,174,487,64
,436,140,480,64
,464,96,496,64
,494,46,516,64
,501,18,537,64
,490,1,565,64
,470,2,584,64
,457,1,598,64
,453,0,603,64
,439,0,617,64
,419,0,637,64
,406,0,650,64
,392,0,664,64
,370,1,685,64
,352,1,703,64
,327,0,729,64
,310,0,746,64
,291,0,765,64
,278,0,778,64
,262,0,794,64
,250,1,805,64
,234,1,821,64
,223,1,832,64
,197,0,859,64
,170,1,885,64
,159,30,867,64
,177,200,679,64
,218,345,493,64
,261,320,475,64
,309,275,472,64
,341,231,484,64
,389,190,477,64
,430,145,481,64
,465,94,497,64
,498,47,511,64
,512,12,532,64
,501,0,555,64
,479,1,576,64
,457,2,597,64
,450,1,605,64
,434,1,621,64
,418,0,638,64
,401,1,654,64
,373,0,683,64
,358,2,696,64
,340,1,715,64
,331,0,725,64
,312,2,742,64
,293,1,762,64
,279,0,777,64
,252,1,803,64
,237,1,818,64
,218,0,838,64
,194,0,862,64
,177,2,877,64
,172,37,847,64
,191,82,783,64
,231,274,551,64
,284,302,470,64
,313,249,494,64
,347,221,488,64
,387,190,479,64
,422,150,484,64
,460,109,487,64
,496,59,501,64
,511,12,533,64
,501,0,555,64
,481,1,574,64
,465,1,590,64
,453,0,603,64
,434,1,621,64
,417,0,639,64
,398,1,657,64
,377,2,677,64
,361,3,692,64
,349,2,705,64
,336,0,720,64
,319,0,737,64
,308,0,748,64
,287,0,769,64
,272,0,784,64
,257,1,798,64
,235,5,816,64
,238,29,789,64
,243,59,754,64
,270,108,678,64
,300,226,530,64
,336,226,494,64
,371,198,487,64
,413,159,484,64
,444,115,497,64
,477,69,510,64
,496,12,548,64
,486,0,570,64
,476,0,580,64
,458,2,596,64
,444,4,608,64
,428,0,628,64
,415,0,641,64
,397,0,659,64
,379,0,677,64
,370,0,686,64
,347,0,709,64
,339,2,715,64
,316,0,740,64
,295,1,760,64
,277,0,779,64
,260,1,795,64
,247,0,809,64
,229,0,827,64
,214,2,840,64
,225,79,752,64
,260,179,617,64
,297,263,496,64
,330,242,484,64
,366,200,490,64
,402,163,491,64
,429,126,501,64
,463,75,518,64
,484,33,539,64
,481,7,568,64
,460,1,595,64
,444,0,612,64
,423,0,633,64
,411,0,645,64
,386,2,668,64
,370,9,677,64
,373,19,664,64
,382,31,643,64
,387,18,651,64
,384,1,671,64
,366,0,690,64
,349,0,707,64
,328,0,728,64
,312,0,744,64
,292,0,764,64
,275,0,781,64
,254,3,799,64
,238,2,816,64
,232,56,768,64
,248,169,639,64
,286,263,507,64
,325,253,478,64
,358,213,485,64
,388,180,488,64
,430,143,483,64
,455,89,512,64
,485,47,524,64
,485,13,558,64
,468,0,588,64
,448,0,608,64
,428,1,627,64
,409,1,646,64
,385,0,671,64
,361,0,695,64
,341,0,715,64
,322,2,732,64
,304,0,752,64
,293,1,762,64
,278,4,774,64
,277,0,779,64
,269,2,785,64
,251,0,805,64
,233,0,823,64
,218,0,838,64
,200,0,856,64
,188,2,866,64
,169,0,887,64
,159,2,895,64
,143,0,913,64
,133,5,918,64
,128,37,891,64
,150,191,715,64
,196,374,486,64
,244,342,470,64
,290,295,471,64
,337,248,471,64
,379,202,475,64
,424,158,474,64
,467,110,479,64
,507,56,493,64
,528,4,524,64
,507,0,549,64
,483,0,573,64
,471,0,585,64
,455,1,600,64
,438,1,617,64
,429,1,626,64
,409,0,647,64
,383,0,673,64
,361,1,694,64
,342,0,714,64
,315,0,741,64
,301,1,754,64
,290,2,764,64
,281,0,775,64
,262,0,794,64
,236,0,820,64
,226,0,830,64
,220,35,801,64
,227,72,757,64
,249,186,621,64
,292,280,484,64
,331,246,479,64
,372,206,478,64
,419,160,477,64
,457,110,489,64
,474,61,521,64
,496,20,540,64
,488,9,559,64
,468,3,585,64
,451,0,605,64
,425,0,631,64
,407,0,649,64
,388,0,668,64
,372,0,684,64
,363,1,692,64
,349,1,706,64
,338,0,718,64
,317,10,729,64
,312,41,703,64
,339,57,660,64
,368,82,606,64
,395,122,539,64
,427,112,517,64
,453,90,513,64
,469,59,528,64
,474,47,535,64
,480,18,558,64
,470,2,584,64
,448,3,605,64
,415,1,640,64
,386,2,668,64
,354,2,700,64
,341,1,714,64
,317,2,737,64
,301,16,739,64
,311,58,687,64
,332,67,657,64
,373,121,562,64
,409,137,510,64
,445,114,497,64
,476,77,503,64
,495,36,525,64
,507,8,541,64
,486,0,570,64
,462,0,594,64
,430,3,623,64
,408,2,646,64
,391,1,664,64
,370,0,686,64
,340,0,716,64
,321,0,735,64
,294,1,761,64
,274,1,781,64
,257,1,798,64
,244,1,811,64
,225,1,830,64
,215,3,838,64
,207,0,849,64
,197,0,859,64
,182,0,874,64
,172,0,884,64
,154,0,902,64
,144,1,911,64
,136,0,920,64
,122,2,932,64
,119,0,937,64
,106,0,950,64
,90,1,965,64
,94,44,918,64
,132,254,670,64
,182,406,468,64
,229,355,472,64
,274,309,473,64
,328,265,463,64
,376,209,471,64
,423,160,473,64
,462,104,490,64
,504,50,502,64
,524,4,528,64
,505,0,551,64
,483,0,573,64
,476,3,577,64
,456,0,600,64
,443,0,613,64
,422,0,634,64
,397,0,659,64
,386,2,668,64
,366,1,689,64
,355,2,699,64
,344,0,712,64
,315,1,740,64
,293,4,759,64
,285,2,769,64
,273,1,782,64
,251,1,804,64
,240,2,814,64
,220,0,836,64
,195,1,860,64
,178,2,876,64
,167,0,889,64
,144,0,912,64
,131,18,907,64
,147,170,739,64
,195,362,499,64
,231,344,481,64
,273,307,476,64
,310,265,481,64
,354,228,474,64
,396,183,477,64
,439,142,475,64
,476,86,494,64
,521,39,496,64
,527,0,529,64
,502,0,554,64
,490,0,566,64
,472,0,584,64
,447,1,608,64
,430,3,623,64
,414,2,640,64
,404,1,651,64
,388,0,668,64
,370,0,686,64
,352,2,702,64
,337,1,718,64
,315,1,740,64
,306,1,749,64
,275,1,780,64
,258,1,797,64
,239,0,817,64
,225,1,830,64
,209,14,833,64
,203,42,811,64
,231,104,721,64
,263,230,563,64
,292,275,489,64
,329,245,482,64
,370,209,477,64
,405,167,484,64
,439,130,487,64
,473,87,496,64
,486,40,530,64
,505,12,539,64
,497,0,559,64
,465,1,590,64
,448,6,602,64
,440,23,593,64
,446,27,583,64
,457,1,598,64
,452,2,602,64
,438,0,618,64
,415,0,641,64
,393,3,660,64
,374,4,678,64
,362,0,694,64
,338,1,717,64
,334,30,692,64
,345,31,680,64
,358,33,665,64
,369,39,648,64
,373,62,621,64
,385,50,621,64
,404,66,586,64
,411,86,559,64
,424,72,560,64
,461,60,535,64
,478,20,558,64
,469,1,586,64
,436,3,617,64
,425,0,631,64
,402,0,654,64
,376,0,680,64
,355,1,700,64
,351,15,690,64
,356,12,688,64
,342,1,713,64
,321,1,734,64
,299,0,757,64
,280,1,775,64
,269,0,787,64
,261,0,795,64
,242,1,813,64
,234,24,798,64
,238,130,688,64
,267,225,564,64
,305,270,481,64
,348,232,476,64
,387,189,480,64
,421,146,489,64
,452,111,493,64
,476,73,507,64
,489,29,538,64
,494,5,557,64
,473,1,582,64
,443,1,612,64
,425,1,630,64
,410,0,646,64
,399,0,657,64
,382,0,674,64
,367,1,688,64
,348,0,708,64
,331,1,724,64
,312,0,744,64
,292,1,763,64
,273,0,783,64
,256,1,799,64
,251,0,805,64
,240,0,816,64
,226,0,830,64
,206,2,848,64
,195,0,861,64
,177,0,879,64
,156,2,898,64
,142,1,913,64
,128,0,928,64
,116,1,939,64
,108,0,948,64
,92,0,964,64
,85,0,971,64
,73,0,983,64
,66,1,989,64
,62,1,993,64
,60,1,995,64
,61,0,995,64
,58,1,997,64
,60,0,996,64
,54,0,1002,64
,53,1,1002,64
,77,55,924,64
,125,263,668,64
,179,412,465,64
,226,361,469,64
,277,311,468,64
,320,262,474,64
,371,218,467,64
,414,162,480,64
,460,116,480,64
,499,64,493,64
,523,26,507,64
,517,0,539,64
,495,1,560,64
,480,2,574,64
,466,7,583,64
,454,4,598,64
,438,1,617,64
,420,1,635,64
,407,0,649,64
,383,1,672,64
,364,0,692,64
,341,0,715,64
,323,0,733,64
,298,1,757,64
,287,2,767,64
,266,0,790,64
,249,0,807,64
,223,1,832,64
,202,0,854,64
,187,0,869,64
,174,0,882,64
,150,0,906,64
,131,1,924,64
,131,30,895,64
,150,224,682,64
,195,387,474,64
,241,344,471,64
,284,296,476,64
,322,254,480,64
,369,216,471,64
,417,168,471,64
,458,116,482,64
,486,56,514,64
,509,20,527,64
,506,0,550,64
,493,0,563,64
,473,1,582,64
,453,1,602,64
,437,0,619,64
,425,0,631,64
,409,0,647,64
,394,0,662,64
,372,1,683,64
,359,28,669,64
,368,32,656,64
,380,6,670,64
,364,9,683,64
,343,2,711,64
,329,15,712,64
,327,42,687,64
,347,96,613,64
,371,112,573,64
,394,129,533,64
,424,123,509,64
,450,89,517,64
,463,40,553,64
,459,14,583,64
,445,1,610,64
,417,0,639,64
,387,2,667,64
,372,1,683,64
,354,0,702,64
,333,0,723,64
,325,1,730,64
,308,2,746,64
,292,0,764,64
,280,0,776,64
,258,1,797,64
,250,1,805,64
,235,1,820,64
,224,1,831,64
,206,1,849,64
,196,23,837,64
,213,72,771,64
,245,193,618,64
,294,288,474,64
,337,244,475,64
,372,199,485,64
,410,163,483,64
,448,118,490,64
,477,77,502,64
,492,25,539,64
,491,4,561,64
,468,0,588,64
,446,2,608,64
,423,1,632,64
,397,0,659,64
,379,3,674,64
,370,0,686,64
,353,2,701,64
,333,0,723,64
,318,0,738,64
,298,0,758,64
,284,0,772,64
,268,0,788,64
,265,22,769,64
,283,70,703,64
,324,150,582,64
,360,206,490,64
,398,178,480,64
,422,141,493,64
,450,108,498,64
,482,67,507,64
,492,33,531,64
,489,23,544,64
,484,1,571,64
,454,0,602,64
,437,0,619,64
,409,0,647,64
,400,0,656,64
,380,0,676,64
,360,0,696,64
,338,0,718,64
,326,3,727,64
,309,0,747,64
,298,0,758,64
,279,0,777,64
,263,1,792,64
,255,1,800,64
,237,0,819,64
,230,0,826,64
,212,19,825,64
,219,59,778,64
,248,171,637,64
,285,275,496,64
,325,247,484,64
,355,207,494,64
,387,173,496,64
,409,140,507,64
,436,111,509,64
,475,77,504,64
,500,37,519,64
,504,13,539,64
,487,1,568,64
,477,0,579,64
,464,1,591,64
,450,1,605,64
,432,1,623,64
,410,0,646,64
,391,1,664,64
,375,2,679,64
,358,1,697,64
,334,0,722,64
,323,4,729,64
,313,12,731,64
,310,2,744,64
,291,0,765,64
,276,0,780,64
,249,3,804,64
,232,2,822,64
,220,30,806,64
,240,136,680,64
,275,237,544,64
,315,264,477,64
,351,223,482,64
,385,188,483,64
,416,152,488,64
,447,114,495,64
,481,61,514,64
,498,23,535,64
,490,1,565,64
,465,0,591,64
,446,1,609,64
,433,0,623,64
,415,3,638,64
,405,6,645,64
,396,16,644,64
,386,6,664,64
,365,1,690,64
,346,1,709,64
,327,1,728,64
,315,0,741,64
,298,0,758,64
,284,9,763,64
,271,34,751,64
,280,80,696,64
,311,147,598,64
,343,212,501,64
,369,187,500,64
,413,160,483,64
,449,112,495,64
,482,67,507,64
,503,20,533,64
,488,0,568,64
,463,0,593,64
,433,1,622,64
,420,1,635,64
,396,0,660,64
,381,1,674,64
,365,3,688,64
,357,16,683,64
,356,18,682,64
,355,29,672,64
,369,37,650,64
,380,21,655,64
,391,37,628,64
,395,80,581,64
,408,93,555,64
,426,82,548,64
,447,49,560,64
,447,39,570,64
,462,47,547,64
,465,13,578,64
,450,1,605,64
,426,0,630,64
,396,7,653,64
,384,30,642,64
,391,57,608,64
,389,56,611,64
,400,61,595,64
,426,48,582,64
,443,88,525,64
,459,66,531,64
,466,25,565,64
