BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03,,,,
05/24/2018 04:13:10:014 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
,466,86,504,64
,493,52,511,64
,503,4,549,64
,476,2,578,64
,453,16,587,64
,441,15,600,64
,431,0,625,64
,396,0,660,64
,368,6,682,64
,362,22,672,64
,372,41,643,64
,392,78,586,64
,419,115,522,64
,456,111,489,64
,492,79,485,64
,516,30,510,64
,525,2,529,64
,506,0,550,64
,488,0,568,64
,468,1,587,64
,447,0,609,64
,423,0,633,64
,398,2,656,64
,376,9,671,64
,362,29,665,64
,367,80,609,64
,396,91,569,64
,429,93,534,64
,449,101,506,64
,459,83,514,64
,488,52,516,64
,500,14,542,64
,483,0,573,64
,445,1,610,64
,422,2,632,64
,394,0,662,64
,377,0,679,64
,357,1,698,64
,327,0,729,64
,304,19,733,64
,300,71,685,64
,326,119,611,64
,355,168,533,64
,395,174,487,64
,419,146,491,64
,460,118,478,64
,493,68,495,64
,517,35,504,64
,511,16,529,64
,493,2,561,64
,476,1,579,64
,445,1,610,64
,422,1,633,64
,399,0,657,64
,373,1,682,64
,348,3,705,64
,333,14,709,64
,326,34,696,64
,340,67,649,64
,376,116,564,64
,408,139,509,64
,445,118,493,64
,486,77,493,64
,509,33,514,64
,507,11,538,64
,488,4,564,64
,465,0,591,64
,440,0,616,64
,408,1,647,64
,390,1,665,64
,370,1,685,64
,345,2,709,64
,322,1,733,64
,309,0,747,64
,284,1,771,64
,271,0,785,64
,254,0,802,64
,237,0,819,64
,221,3,832,64
,219,25,812,64
,231,46,779,64
,255,112,689,64
,291,216,549,64
,332,263,461,64
,375,221,460,64
,411,176,469,64
,448,137,471,64
,480,93,483,64
,500,56,500,64
,509,24,523,64
,508,8,540,64
,496,0,560,64
,469,0,587,64
,437,2,617,64
,422,0,634,64
,407,0,649,64
,391,3,662,64
,364,0,692,64
,347,0,709,64
,331,0,725,64
,309,0,747,64
,295,0,761,64
,282,1,773,64
,267,0,789,64
,251,0,805,64
,230,2,824,64
,223,90,743,64
,254,206,596,64
,295,280,481,64
,334,261,461,64
,369,221,466,64
,408,184,464,64
,444,136,476,64
,471,90,495,64
,489,55,512,64
,513,41,502,64
,498,17,541,64
,495,1,560,64
,472,0,584,64
,455,1,600,64
,437,1,618,64
,422,0,634,64
,395,0,661,64
,379,1,676,64
,364,3,689,64
,351,2,703,64
,339,1,716,64
,323,0,733,64
,309,1,746,64
,291,1,764,64
,275,1,780,64
,253,0,803,64
,228,0,828,64
,211,1,844,64
,194,2,860,64
,168,2,886,64
,162,59,835,64
,195,226,635,64
,236,349,471,64
,274,320,462,64
,320,280,456,64
,355,234,467,64
,396,199,461,64
,432,156,468,64
,471,116,469,64
,507,62,487,64
,527,26,503,64
,533,2,521,64
,519,0,537,64
,499,1,556,64
,471,1,584,64
,456,0,600,64
,442,1,613,64
,421,1,634,64
,403,0,653,64
,384,1,671,64
,361,0,695,64
,341,0,715,64
,314,1,741,64
,300,0,756,64
,285,0,771,64
,268,0,788,64
,249,0,807,64
,232,19,805,64
,250,81,725,64
,287,182,587,64
,322,268,466,64
,357,229,470,64
,381,197,478,64
,412,174,470,64
,447,140,469,64
,480,98,478,64
,512,62,482,64
,530,11,515,64
,511,0,545,64
,492,0,564,64
,470,0,586,64
,454,0,602,64
,437,1,618,64
,425,1,630,64
,408,0,648,64
,383,0,673,64
,362,0,694,64
,345,1,710,64
,337,10,709,64
,341,30,685,64
,351,39,666,64
,363,76,617,64
,392,111,553,64
,417,141,498,64
,446,116,494,64
,473,86,497,64
,488,50,518,64
,490,10,556,64
,472,3,581,64
,439,0,617,64
,419,1,636,64
,393,0,663,64
,381,1,674,64
,353,0,703,64
,321,2,733,64
,303,1,752,64
,291,3,762,64
,272,0,784,64
,259,2,795,64
,250,26,780,64
,272,86,698,64
,315,190,551,64
,354,236,466,64
,388,193,475,64
,422,156,478,64
,459,122,475,64
,503,84,469,64
,531,21,504,64
,508,1,547,64
,483,1,572,64
,455,0,601,64
,432,0,624,64
,409,0,647,64
,375,2,679,64
,362,0,694,64
,339,1,716,64
,321,1,734,64
,309,0,747,64
,290,1,765,64
,274,2,780,64
,256,1,799,64
,245,2,809,64
,234,6,816,64
,224,1,831,64
,211,0,845,64
,199,0,857,64
,182,0,874,64
,164,0,892,64
,151,1,904,64
,139,4,913,64
,141,64,851,64
,176,266,614,64
,211,381,464,64
,250,348,458,64
,291,304,461,64
,337,263,456,64
,370,218,468,64
,410,183,463,64
,451,132,473,64
,487,87,482,64
,518,47,491,64
,528,4,524,64
,519,0,537,64
,506,0,550,64
,492,0,564,64
,472,0,584,64
,454,2,600,64
,440,0,616,64
,419,0,637,64
,408,2,646,64
,386,0,670,64
,365,1,690,64
,345,8,703,64
,341,32,683,64
,349,30,677,64
,360,33,663,64
,367,47,642,64
,382,106,568,64
,403,119,534,64
,431,116,509,64
,458,97,501,64
,476,56,524,64
,489,23,544,64
,478,0,578,64
,456,0,600,64
,427,0,629,64
,399,0,657,64
,367,0,689,64
,352,0,704,64
,330,0,726,64
,311,2,743,64
,302,1,753,64
,281,1,774,64
,260,5,791,64
,260,49,747,64
,289,174,593,64
,332,240,484,64
,364,226,466,64
,402,190,464,64
,445,141,470,64
,481,94,481,64
,506,38,512,64
,515,5,536,64
,487,0,569,64
,458,1,597,64
,432,15,609,64
,423,9,624,64
,414,0,642,64
,395,0,661,64
,371,1,684,64
,349,3,704,64
,329,1,726,64
,305,2,749,64
,295,0,761,64
,281,0,775,64
,268,1,787,64
,269,53,734,64
,297,104,655,64
,339,187,530,64
,378,203,475,64
,411,172,473,64
,446,137,473,64
,469,93,494,64
,498,63,495,64
,503,20,533,64
,484,3,569,64
,464,5,587,64
,441,2,613,64
,418,3,635,64
,404,0,652,64
,378,2,676,64
,351,1,704,64
,330,1,725,64
,321,2,733,64
,301,0,755,64
,282,1,773,64
,258,0,798,64
,240,1,815,64
,232,1,823,64
,217,1,838,64
,206,0,850,64
,190,0,866,64
,175,2,879,64
,166,1,889,64
,148,1,907,64
,137,1,918,64
,117,22,917,64
,144,163,749,64
,189,371,496,64
,231,366,459,64
,270,322,464,64
,323,282,451,64
,365,228,463,64
,407,187,462,64
,448,141,467,64
,488,91,477,64
,513,45,498,64
,524,7,525,64
,501,1,554,64
,492,6,558,64
,474,0,582,64
,458,0,598,64
,445,1,610,64
,435,0,621,64
,417,0,639,64
,394,7,655,64
,385,1,670,64
,367,0,689,64
,342,2,712,64
,329,10,717,64
,315,0,741,64
,306,4,746,64
,291,16,749,64
,279,19,758,64
,277,73,706,64
,307,191,558,64
,348,243,465,64
,380,203,473,64
,410,171,475,64
,450,144,462,64
,484,94,478,64
,500,62,494,64
,511,23,522,64
,499,0,557,64
,478,8,570,64
,472,37,547,64
,480,40,536,64
,499,36,521,64
,507,9,540,64
,487,1,568,64
,474,0,582,64
,457,0,599,64
,446,0,610,64
,413,0,643,64
,397,1,658,64
