Java Model MCSS (Evan & Shalitha),,,,
Rebellion,,,,
Rebellion experiment 08 (Java),,,,
Wed May 23 13:07:19 AEST 2018,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,
government-legitimacy,0.76,,,
movement?,TRUE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization, N/A,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],,,,
[min],,,,
[max],,,,
[mean],,,,
[steps],20000,20000,20000,
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,267,2,787,64
,252,3,801,64
,237,3,816,64
,222,2,832,64
,197,31,828,64
,191,66,799,64
,197,157,702,64
,219,341,496,64
,249,346,461,64
,289,306,461,64
,320,275,461,64
,360,235,461,64
,404,191,461,64
,427,156,473,64
,462,107,487,64
,492,40,524,64
,500,2,554,64
,477,7,572,64
,459,2,595,64
,441,2,613,64
,423,3,630,64
,408,2,646,64
,388,5,663,64
,373,3,680,64
,353,1,702,64
,340,0,716,64
,322,2,732,64
,311,1,744,64
,294,2,760,64
,281,0,775,64
,265,1,790,64
,244,3,809,64
,220,1,835,64
,208,3,845,64
,192,3,861,64
,171,1,884,64
,157,3,896,64
,143,4,909,64
,128,1,927,64
,106,4,946,64
,93,2,961,64
,72,4,980,64
,66,2,988,64
,57,2,997,64
,48,17,991,64
,45,5,1006,64
,48,5,1003,64
,50,16,990,64
,55,60,941,64
,74,189,793,64
,120,451,485,64
,172,423,461,64
,224,371,461,64
,282,313,461,64
,332,263,461,64
,384,211,461,64
,430,155,471,64
,469,93,494,64
,497,25,534,64
,502,1,553,64
,476,4,576,64
,452,5,599,64
,432,3,621,64
,407,3,646,64
,388,1,667,64
,377,1,678,64
,362,3,691,64
,346,0,710,64
,329,4,723,64
,311,17,728,64
,295,51,710,64
,310,46,700,64
,311,40,705,64
,319,67,670,64
,325,97,634,64
,334,90,632,64
,352,82,622,64
,366,93,597,64
,378,113,565,64
,397,103,556,64
,415,54,587,64
,428,2,626,64
,398,5,653,64
,376,25,655,64
,366,40,650,64
,359,19,678,64
,346,34,676,64
,339,49,668,64
,341,36,679,64
,345,49,662,64
,359,53,644,64
,362,66,628,64
,383,93,580,64
,400,100,556,64
,427,68,561,64
,451,9,596,64
,438,1,617,64
,407,4,645,64
,386,17,653,64
,371,0,685,64
,340,6,710,64
,322,5,729,64
,290,3,763,64
,266,3,787,64
,240,2,814,64
,226,3,827,64
,210,34,812,64
,210,97,749,64
,231,222,603,64
,271,308,477,64
,308,287,461,64
,351,244,461,64
,394,197,465,64
,435,152,469,64
,470,85,501,64
,482,49,525,64
,482,14,560,64
,468,0,588,64
,437,2,617,64
,421,5,630,64
,411,2,643,64
,391,4,661,64
,364,5,687,64
,338,1,717,64
,317,5,734,64
,308,1,747,64
,286,8,762,64
,280,68,708,64
,288,148,620,64
,330,177,549,64
,369,207,480,64
,399,190,467,64
,433,145,478,64
,467,91,498,64
,485,24,547,64
,484,1,571,64
,459,3,594,64
,433,3,620,64
,411,7,638,64
,386,2,668,64
,363,0,693,64
,335,3,718,64
,313,9,734,64
,288,3,765,64
,268,6,782,64
,256,2,798,64
,240,3,813,64
,229,3,824,64
,216,2,838,64
,196,3,857,64
,185,4,867,64
,173,2,881,64
,159,2,895,64
,147,24,885,64
,143,14,899,64
,128,2,926,64
,120,26,910,64
,116,193,747,64
,152,396,508,64
,203,392,461,64
,244,351,461,64
,289,306,461,64
,326,269,461,64
,365,230,461,64
,404,191,461,64
,451,135,470,64
,495,63,498,64
,514,10,532,64
,499,3,554,64
,478,5,573,64
,459,1,596,64
,432,2,622,64
,415,0,641,64
,405,2,649,64
,387,10,659,64
,373,1,682,64
,356,4,696,64
,339,4,713,64
,321,4,731,64
,303,6,747,64
,286,1,769,64
,269,2,785,64
,248,4,804,64
